id_paczki,data_dostawy,gabaryt,wysokosc_cm,szerokosc_cm,dlugosc_cm,waga_kg,miasto_docelowe,id_paczkomatu
ZGN-050400000,2026-05-04,A,4,30,44,0.9,Żagań,ZGN-01
ZG-050400001,2026-05-04,B,14,35,3,4.8,Zielona Góra,ZG-33
ZAR-050400002,2026-05-04,B,12,27,32,4.1,Żary,ZAR-06
ZG-050400003,2026-05-04,A,1,33,43,0.6,Zielona Góra,ZG-28
ZAR-050400004,2026-05-04,A,8,1,39,0.7,Żary,ZAR-03
ZGN-050400005,2026-05-04,A,3,10,44,1.1,Żagań,ZGN-09
ZG-050400006,2026-05-04,A,7,34,20,2.6,Zielona Góra,ZG-10
NS-050400007,2026-05-04,B,10,15,16,8.5,Nowa Sól,NS-16
NS-050400008,2026-05-04,B,17,35,19,5.5,Nowa Sól,NS-16
ZG-050400009,2026-05-04,A,5,33,37,0.9,Zielona Góra,ZG-27
SZP-050400010,2026-05-04,A,4,1,5,0.5,Szprotawa,SZP-04
NS-050400011,2026-05-04,B,9,16,4,1.3,Nowa Sól,NS-17
ZAR-050400012,2026-05-04,A,4,21,31,1.0,Żary,ZAR-05
ZG-050400013,2026-05-04,C,29,18,15,10.0,Zielona Góra,ZG-39
NS-050400014,2026-05-04,A,7,28,52,1.2,Nowa Sól,NS-01
ZG-050400015,2026-05-04,A,7,37,27,0.4,Zielona Góra,ZG-32
ZGN-050400016,2026-05-04,B,10,29,51,3.1,Żagań,ZGN-01
NS-050400017,2026-05-04,A,3,21,62,1.2,Nowa Sól,NS-18
ZG-050400018,2026-05-04,A,3,1,15,1.8,Zielona Góra,ZG-39
ZG-050400019,2026-05-04,B,14,19,4,5.9,Zielona Góra,ZG-35
ZG-050400020,2026-05-04,A,1,2,33,0.1,Zielona Góra,ZG-11
ZAR-050400021,2026-05-04,B,13,30,60,4.9,Żary,ZAR-02
ZAR-050400022,2026-05-04,C,20,7,32,7.7,Żary,ZAR-02
ZAR-050400023,2026-05-04,B,16,11,25,4.0,Żary,ZAR-04
ZG-050400024,2026-05-04,B,18,23,62,3.4,Zielona Góra,ZG-36
ZGN-050400025,2026-05-04,A,5,26,58,1.1,Żagań,ZGN-10
ZAR-050400026,2026-05-04,A,8,16,52,0.3,Żary,ZAR-01
ZG-050400027,2026-05-04,A,1,9,16,1.6,Zielona Góra,ZG-38
ZAR-050400028,2026-05-04,A,2,34,54,2.0,Żary,ZAR-13
ZGN-050400029,2026-05-04,B,11,36,58,3.7,Żagań,ZGN-10
ZG-050400030,2026-05-04,A,4,1,30,0.5,Zielona Góra,ZG-23
NS-050400031,2026-05-04,A,1,37,63,1.4,Nowa Sól,NS-20
ZAR-050400032,2026-05-04,A,3,32,30,0.3,Żary,ZAR-13
ZG-050400033,2026-05-04,A,1,1,12,4.1,Zielona Góra,ZG-33
NS-050400034,2026-05-04,A,7,17,23,1.0,Nowa Sól,NS-10
ZGN-050400035,2026-05-04,A,2,35,18,2.8,Żagań,ZGN-01
ZG-050400036,2026-05-04,B,13,22,53,5.4,Zielona Góra,ZG-24
ZAR-050400037,2026-05-04,B,9,11,13,3.3,Żary,ZAR-05
ZG-050400038,2026-05-04,A,3,5,63,0.4,Zielona Góra,ZG-26
ZAR-050400039,2026-05-04,B,17,7,50,5.5,Żary,ZAR-08
NS-050400040,2026-05-04,B,12,24,51,3.5,Nowa Sól,NS-04
ZG-050400041,2026-05-04,A,6,35,41,1.0,Zielona Góra,ZG-22
ZG-050400042,2026-05-04,A,5,18,13,0.2,Zielona Góra,ZG-13
ZAR-050400043,2026-05-04,A,8,13,23,1.2,Żary,ZAR-09
ZG-050400044,2026-05-04,B,17,33,1,1.1,Zielona Góra,ZG-27
ZGN-050400045,2026-05-04,B,13,5,48,1.7,Żagań,ZGN-07
ZG-050400046,2026-05-04,A,1,9,57,0.1,Zielona Góra,ZG-08
NS-050400047,2026-05-04,A,8,6,23,1.9,Nowa Sól,NS-07
ZG-050400048,2026-05-04,A,8,4,19,0.8,Zielona Góra,ZG-38
NS-050400049,2026-05-04,A,4,14,59,0.8,Nowa Sól,NS-16
ZG-050400050,2026-05-04,A,1,31,51,1.1,Zielona Góra,ZG-27
ZG-050400051,2026-05-04,A,3,8,62,1.2,Zielona Góra,ZG-36
ZAR-050400052,2026-05-04,A,1,14,35,0.8,Żary,ZAR-02
ZG-050400053,2026-05-04,C,41,14,64,6.9,Zielona Góra,ZG-29
ZAR-050400054,2026-05-04,A,4,29,27,3.2,Żary,ZAR-03
ZGN-050400055,2026-05-04,C,27,11,61,3.9,Żagań,ZGN-08
ZG-050400056,2026-05-04,A,2,30,47,0.4,Zielona Góra,ZG-36
ZG-050400057,2026-05-04,A,4,34,2,1.2,Zielona Góra,ZG-39
ZAR-050400058,2026-05-04,A,7,16,42,0.8,Żary,ZAR-05
NS-050400059,2026-05-04,A,5,6,33,0.2,Nowa Sól,NS-03
NS-050400060,2026-05-04,C,35,36,56,9.7,Nowa Sól,NS-18
ZAR-050400061,2026-05-04,B,13,11,44,3.5,Żary,ZAR-04
ZAR-050400062,2026-05-04,C,30,30,23,5.0,Żary,ZAR-11
ZG-050400063,2026-05-04,A,4,20,23,0.4,Zielona Góra,ZG-09
ZAR-050400064,2026-05-04,B,19,23,34,8.2,Żary,ZAR-09
NB-050400065,2026-05-04,A,4,15,58,5.4,Nowogród Bobrzański,NB-02
ZG-050400066,2026-05-04,A,7,12,12,0.8,Zielona Góra,ZG-12
ZG-050400067,2026-05-04,A,5,20,52,0.7,Zielona Góra,ZG-32
ZG-050400068,2026-05-04,B,11,13,57,6.7,Zielona Góra,ZG-24
ZG-050400069,2026-05-04,A,2,11,37,0.6,Zielona Góra,ZG-04
NS-050400070,2026-05-04,A,3,8,30,0.6,Nowa Sól,NS-10
ZG-050400071,2026-05-04,A,5,1,8,0.4,Zielona Góra,ZG-25
NS-050400072,2026-05-04,B,13,9,54,2.2,Nowa Sól,NS-18
ZGN-050400073,2026-05-04,A,4,7,49,0.9,Żagań,ZGN-02
NB-050400074,2026-05-04,A,6,2,48,0.5,Nowogród Bobrzański,NB-01
ZG-050400075,2026-05-04,B,17,7,15,4.3,Zielona Góra,ZG-13
NS-050400076,2026-05-04,B,17,30,49,2.2,Nowa Sól,NS-06
ZG-050400077,2026-05-04,C,39,34,60,8.3,Zielona Góra,ZG-06
ZGN-050400078,2026-05-04,B,9,28,4,8.4,Żagań,ZGN-04
ZAR-050400079,2026-05-04,C,34,19,41,6.7,Żary,ZAR-10
SZP-050400080,2026-05-04,B,14,4,13,5.3,Szprotawa,SZP-01
ZG-050400081,2026-05-04,B,14,37,4,2.3,Zielona Góra,ZG-14
ZG-050400082,2026-05-04,B,10,28,51,2.5,Zielona Góra,ZG-32
ZG-050400083,2026-05-04,A,1,31,61,1.8,Zielona Góra,ZG-21
ZG-050400084,2026-05-04,C,31,7,61,7.3,Zielona Góra,ZG-17
SZP-050400085,2026-05-04,B,17,35,39,7.2,Szprotawa,SZP-01
ZG-050400086,2026-05-04,A,1,17,39,0.4,Zielona Góra,ZG-14
ZG-050400087,2026-05-04,C,34,7,64,8.4,Zielona Góra,ZG-16
ZGN-050400088,2026-05-04,C,37,2,44,9.7,Żagań,ZGN-03
ZAR-050400089,2026-05-04,A,3,14,22,0.4,Żary,ZAR-02
ZG-050400090,2026-05-04,A,3,38,39,1.5,Zielona Góra,ZG-26
ZG-050400091,2026-05-04,C,25,37,48,5.5,Zielona Góra,ZG-11
ZG-050400092,2026-05-04,C,31,38,15,7.9,Zielona Góra,ZG-02
ZG-050400093,2026-05-04,C,35,11,17,9.9,Zielona Góra,ZG-35
ZG-050400094,2026-05-04,C,38,29,20,5.7,Zielona Góra,ZG-26
SZP-050400095,2026-05-04,A,7,37,38,0.5,Szprotawa,SZP-02
ZG-050400096,2026-05-04,A,3,30,27,0.9,Zielona Góra,ZG-37
ZG-050400097,2026-05-04,A,2,11,5,0.9,Zielona Góra,ZG-34
ZG-050400098,2026-05-04,B,15,22,57,6.4,Zielona Góra,ZG-24
ZG-050400099,2026-05-04,B,13,20,40,1.6,Zielona Góra,ZG-35
